country,city,location,coordinates,measurements_parameter,measurements_sourcename,measurements_unit,measurements_value,measurements_lastupdated,country_name_en
DE,Berlin,Berlin Leipziger Straße (MC),"{'lon': 13.382376999608192, 'lat': 52.50981299973173}",PM10,eea,µg/m³,11.85,2024-09-15T00:00:00+02:00,Germany
DE,Eggenstein-Leopoldsh,Eggenstein,"{'lon': 8.4066600002499, 'lat': 49.07655000022436}",NO2,eea,µg/m³,35.78,2024-09-15T00:00:00+02:00,Germany
DE,Ulm,Ulm,"{'lon': 9.979030999727886, 'lat': 48.396835999832305}",NO2,eea,µg/m³,14.07,2024-09-15T00:00:00+02:00,Germany
DE,Berlin,Berlin Frohnau (3.5 m),"{'lon': 13.296081000304353, 'lat': 52.653269000011676}",NO2,eea,µg/m³,3.83,2024-09-15T00:00:00+02:00,Germany
DE,Berlin,Berlin Neukölln,"{'lon': 13.430843999965024, 'lat': 52.48945100006434}",PM2.5,eea,µg/m³,5.24,2024-09-15T00:00:00+02:00,Germany
DE,Fürth,Fürth/Odenwald,"{'lon': 8.81725099985194, 'lat': 49.65346499992609}",NO,eea,µg/m³,1.0574981,2024-03-11T12:00:00+01:00,Germany
DE,Neu-Ulm,Neu-Ulm/Gabelsbergerstraße,"{'lon': 10.008293000270534, 'lat': 48.39707899982625}",NO,eea,µg/m³,6.28,2024-03-11T12:00:00+01:00,Germany
DE,Neu-Ulm,Neu-Ulm/Gabelsbergerstraße,"{'lon': 10.008293000270534, 'lat': 48.39707899982625}",NO2,eea,µg/m³,17.6,2024-09-15T00:00:00+02:00,Germany
DE,Garmisch-Partenkirch,Garmisch-Partenkirchen/Wasserwerk,"{'lon': 11.057220000097015, 'lat': 47.47706000002671}",NO2,eea,µg/m³,5.6,2024-09-15T00:00:00+02:00,Germany
DE,Berlin,Berlin Karl-Marx-Straße II,"{'lon': 13.429670999629955, 'lat': 52.483810999822715}",NO2,eea,µg/m³,15.14,2024-09-15T00:00:00+02:00,Germany
DE,Berlin,Berlin Karl-Marx-Straße II,"{'lon': 13.429670999629955, 'lat': 52.483810999822715}",PM10,eea,µg/m³,11.24,2024-09-15T00:00:00+02:00,Germany
DE,Berlin,Berlin Mitte,"{'lon': 13.41883300000022, 'lat': 52.51360600001067}",NO,eea,µg/m³,2.95,2024-03-11T12:00:00+01:00,Germany
DE,Cottbus,"Cottbus, Bahnhofstr.","{'lon': 14.327997999577413, 'lat': 51.75659299995488}",NO,eea,µg/m³,17.0,2024-03-11T12:00:00+01:00,Germany
DE,Augsburg,Augsburg/LfU,"{'lon': 10.90305099988239, 'lat': 48.32601300022512}",O3,eea,µg/m³,40.67,2024-09-15T00:00:00+02:00,Germany
DE,Augsburg,Augsburg/LfU,"{'lon': 10.90305099988239, 'lat': 48.32601300022512}",SO2,eea,µg/m³,1.52,2017-09-28T14:00:00+02:00,Germany
DE,Mühlhausen/Thüringen,Mühlhausen Bastmarkt,"{'lon': 10.450996999802104, 'lat': 51.20794399994539}",NO2,eea,µg/m³,6.41857,2024-09-14T23:00:00+02:00,Germany
DE,Wolfsburg,Wolfsburg,"{'lon': 10.81637999976151, 'lat': 52.440809999814}",PM2.5,eea,µg/m³,4.48892,2024-09-14T23:00:00+02:00,Germany
DE,Dortmund,Dortmund-Eving,"{'lon': 7.457408999845711, 'lat': 51.536893000060374}",NO2,eea,µg/m³,54.458,2024-09-14T23:00:00+02:00,Germany
DE,Gülzow-Prüzen,Gülzow,"{'lon': 12.064707999734692, 'lat': 53.81777500025612}",PM2.5,eea,µg/m³,3.62,2024-09-14T23:00:00+02:00,Germany
DE,Hamburg,Hamburg Bramfeld,"{'lon': 10.110594999847127, 'lat': 53.63074000007194}",NO2,eea,µg/m³,13.409,2024-09-14T23:00:00+02:00,Germany
DE,Hattingen,Hattingen-Blankenstein,"{'lon': 7.20854600018066, 'lat': 51.4030070001994}",O3,eea,µg/m³,15.151,2024-09-14T23:00:00+02:00,Germany
